,bed,bath,cube,home,price,area,address,latitude,longitude
374,3,1,,Terraced House,2600,Dublin,"3 The Bramblings, Clontarf West, Dublin 5, D05 XC85, Ireland",53.373382,-6.2062729
375,2,2,,Apartment,2200,Dublin 4,"The Gasworks, S Lotts Rd, Dublin 4, Ireland",53.3390643,-6.2351068
376,2,2,,Semi-Detached,2600,Dublin 6W,"6w, 14 College Park, Terenure, Dublin 6W, Co. Dublin, D6W HH90, Ireland",53.304682,-6.305037899999999
377,3,2,,Terraced House,2346,Co. Dublin,"Shackleton Heath, Doddsborough, Co. Dublin, Ireland",53.34479109999999,-6.4675083
378,3,2,150,Terraced House,3175,Dublin 6W,"39 Kimmage Rd Lower, Kimmage, Harold's Cross, Dublin 6W, Co. Dublin, D6W DD35, Ireland",53.322549,-6.2822581
379,1,1,,Apartment,230,Dublin 1,"1 Mayor Street Lower, Dublin Docklands, Dublin, Ireland",53.3496963,-6.2454128
380,1,1,,Apartment,240,Dublin 7,"7 Grangegorman Lower, Dublin 7, D07 X8R6, Ireland",53.3528289,-6.2799665
381,1,1,,Apartment,240,Dublin 1,"Mountjoy Square Park, Mountjoy Square, Mountjoy, Dublin, Ireland",53.35663479999999,-6.257447399999999
382,3,2,95,Apartment,2595,Leopardstown,"Ballyogan Rd, Carmanhall and Leopardstown, Dublin 18, D18 R583, Ireland",53.2601783,-6.2070873
383,2,2,,Apartment,2295,Cabinteely,"Abbey Glen, Johnstown, Dublin 18, D18 EE92, Ireland",53.2650338,-6.1486624
384,2,1,,Penthouse,3600,Dublin 2,"Park Chambers, 13 St Stephen's Green, Dublin, D02 A364, Ireland",53.3396526,-6.258938
385,5,,,,10000,Dublin 4,"4 Nutley Ln, Dublin 4, Ireland",53.3153348,-6.2230187
386,4,,,,4000,Dublin 14,"34 Roebuck Castle, Roebuck, Dublin 14, D14 HH21, Ireland",53.3028051,-6.2250101
